"actid","castid","date","tgi","tht","source","executive","associate","Type","product","billed","sr","requirement","fm","advance","orderst","walkout","reason","conversion","remarks","intime","time","user"
"29","4","2023-02-22","1","0","Self","1","1","Gold","4","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"30","4","2023-02-22","1","0","Self","1","1","Gold","12","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"31","4","2023-02-22","1","0","Self","1","1","Gold","11","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"32","4","2023-02-22","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"33","4","2023-02-22","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"34","87","2023-02-22","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"35","4","2023-02-22","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"36","4","2023-02-23","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"37","4","2023-02-23","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,"16:53","1"
"38","87","2023-02-23","1","0","Self","1","1","Gold","KAS","Yes","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"39","85","2023-02-23","1","0","Self","1","1","Gold","KAS","Yes","No","No","Rajesh","No","No","No","test Reason for non conversion","0%","s","16:55","16:56","1"
"40","85","2023-02-23","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No","test Reason for non conversion","0%","s","16:55","16:56","1"
"41","85","2023-02-23","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%","kk","17:01","17:02","1"
"42","9","2023-02-24","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"43","85","2023-02-24","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,"17:01",,"1"
"44","4","2023-02-24","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,"17:01","11:59","1"
"45","87","2023-02-28","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,"17:03",,"1"
"46","87","2023-02-28","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"47","4","2023-03-01","1","0","Self","1","1","Gold","KAS","No","No","No","Rajesh","No","No","No",,"0%",,,,"1"
"48","4","2023-03-01","1","0","Self","1","1","Gold","KAS","No","No","Yes","Rajesh","No","No","No",,"0%",,,,"2"
"49","89","2023-03-09","1","0","Self",,,"Gold",,"No","No","No","Rajesh","No","No","Yes",,"0%",,"18:28",,"1"
"50","87","2023-03-16","1","0","Self",,,"Gold","4","Yes","Yes","No","Rajesh","No","No","No",,"0%",,"15:09","20:25","8"
"51","85","2023-03-16","1","0","Self",,,"Gold",,"No","No","No","Rajesh","No","No","Yes",,"0%",,"18:18","17:34","8"
"52","85","2023-03-16","1","0","Self",,,"Diamond",,"No","No","No","Rajesh","No","No","Yes",,"0%",,"17:37","17:39","8"
"53","4","2023-03-16","1","0","Self","42","39","Gold","8","No","No","No","Rajesh","No","No","No",,"0%",,"18:36","23:42","8"
"54","87","2023-03-16","1","0","Self",,,"Gold",,"No","No","No","Rajesh","No","No","No",,"0%",,,,"8"
"55","87","2023-03-16","1","0","Self","2","34","Gold",,"No","No","No","Rajesh","No","No","No",,"0%",,,,"8"
"56","87","2023-03-16","1","0","Self",,,"Gold",,"No","No","No","Rajesh","No","No","No",,"0%",,,,"8"
"57","87","2023-03-16","0","0","Self","1","2","Diamond",,"No","No","No","Rajesh","No","No","No",,"0%",,,"22:17","8"
"58","4","2023-03-22","1","0","Self","1","3","Gold","5","Yes","No","No","Rajesh","No","No","No","test","100%","test","15:18","15:19","1"
"59","103","2023-03-26","1","0","Self","5","10","Gold","9","Yes","No","No","Rajesh","No","No","No","dsafc","100%","jh","12:34","13:36","8"
"60","4","2023-03-26","1","0","Self","1","2","Gold","5","Yes","No","No","Rajesh","No","No","No","dsafc","100%","m kjb","13:41","13:42","8"
"61","4","2023-03-26","1","0","Self","2","6","Gold","3","Yes","No","No","Rajesh","No","No","No","dsafc","100%","fx","16:05","16:06","8"
"62","87","2023-03-28","1","0","Self","1","3","Gold","2","No","No","No","Rajesh","No","No","No",,"0%","kknm","14:36","18:05","1"
